ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QRL1-2-2E,QRL1,2,2E,45.9636,-75.9649,198:198,106:106,240:240,208:210,213:239,201:201,140:144,132:135,190:196
QRL1-2-2F,QRL1,2,2F,45.3626,-75.5956,198:198,96:112,228:236,208:210,235:251,199:199,140:146,122:128,194:198
QRL1-2-53,QRL1,2,53,45.3626,-75.5956,198:198,101:106,217:224,196:208,227:241,201:201,146:146,132:135,182:182
QRL1-2-54,QRL1,2,54,43.2452,-76.9531,198:198,106:106,241:251,206:206,239:241,201:201,146:146,118:132,198:204
QRL1-2-55,QRL1,2,55,43.2452,-76.9531,198:198,106:106,247:249,196:208,229:229,199:199,144:144,132:132,200:200
QRL1-2-56,QRL1,2,56,46.1686,-76.2351,198:198,106:112,213:234,206:208,229:233,201:201,144:144,122:132,200:206
QRL1-2-58,QRL1,2,58,46.1686,-76.2351,198:198,96:106,236:240,206:206,223:223,201:201,144:144,128:135,186:196
QRL2-1-13,QRL2,1,13,44.1616,-75.4854,188:188,96:96,232:234,206:206,243:243,201:201,144:144,132:132,190:190
QRL2-1-3,QRL2,1,3,44.1616,-75.4854,186:198,96:112,241:241,196:206,227:245,199:201,144:146,122:132,190:190
QRL2-1-30,QRL2,1,30,44.001,-75.296,198:202,96:106,238:238,196:208,229:247,199:199,144:146,132:132,184:184
QRL2-1-3C,QRL2,1,3C,44.001,-75.296,198:198,96:96,224:232,208:208,229:231,201:201,146:146,132:132,184:198
